url,ingredients
https://www.recipetineats.com/mushroom-gravy-smothered-rissoles/, large onion panko breadcrumbs beef mince small zucchini small carrot large egg large garlic clove dried thyme oregano black pepper cooking salt / kosher salt Worcestershire sauce olive oil unsalted butter onion garlic cloves mushrooms flour beef stock / broth cooking salt / kosher salt black pepper Worcestershire sauce Mashed potato
https://www.recipetineats.com/peanut-butter-stuffed-brownies/, smooth peanut butter spread for stuffing salt flakes unsalted butter dark chocolate chips brown sugar large eggs vanilla extract plain flour cocoa powder cooking salt / kosher salt
https://www.recipetineats.com/duchess-potato-chicken-mushroom-pie/, unsalted butter garlic cloves cooking salt / kosher salt black pepper chicken thighs button mushrooms – very small ones whole thick cut streaky bacon onions fresh thyme plain flour Guinness beer beef stock / broth water tomato paste starchy potatoes unsalted butter milk white pepper unsalted butter grated parmesan finely chopped parsley for garnish
https://www.recipetineats.com/texan-bbq-candied-nuts/, pecans almonds cashews cooking salt / kosher salt unsalted butter white sugar water smoked paprika chipotle coriander powder cumin powder onion powder garlic powder black pepper cayenne pepper Sea salt flakes
https://www.recipetineats.com/red-velvet-cheesecake/, Oreo cookies unsalted butter gelatine powder water heavy/thickened cream cream cheese caster sugar / superfine sugar vanilla extract 70% chocolate (or dark chocolate) red food colouring heavy/thickened cream caster sugar / superfine sugar vanilla extract Optional – stabilise the cream so it doesn't deflate shaved or grated dark chocolate
https://www.recipetineats.com/stabilised-whipped-cream/, thickened cream (heavy cream) or whipping cream cream stabiliser powder thickened cream (heavy cream) or whipping cream mascarpone gelatine powder water thickened cream (heavy cream) or whipping cream extra heavy / thickened cream vanilla extract caster sugar / superfine sugar OR icing sugar / powdered sugar
https://www.recipetineats.com/greek-zucchini-tots-mini-fritters/, zucchinis  cooking salt / kosher salt plain flour panko breadcrumbs eggs green onion parmesan cheese dried oregano garlic cloves cooking salt / kosher salt Greek feta cheese Olive oil spray Lemon wedges and oregano leaves plain Greek yoghurt fresh mint lemon juice extra virgin olive oil each salt and pepper
https://www.recipetineats.com/cheese-scones/, plain flour shredded cheddar or tasty cheese baking powder cooking salt / kosher salt unsalted butter; cold; cut into 1 cm cubes milk shredded cheese Butter
https://www.recipetineats.com/the-fastest-noodle-stir-fry-i-know/, chicken thighs hokkien noodles; lo mein; other noodles peanut oil garlic cloves green onions green cabbage kecap mani (sweet soy) fish sauce white pepper chilli crisp; chilli paste or sriracha
https://www.recipetineats.com/baked-sausage-breakfast-hash/, potatoes olive oil smoked paprika dried thyme onion powder garlic powder cooking salt / table salt red capsicum / bell pepper red onion salt and pepper olive oil streaky bacon good pork sausages Eggs – as many as you want! parsley Hot buttered toast
https://www.recipetineats.com/biscoff-stuffed-cookies/, biscoff spread unsalted butter plain flour / all-purpose flour cornflour/cornstarch baking powder baking soda / bi-carb cooking salt / kosher salt cinnamon powder all spice powder ginger powder brown sugar caster sugar / superfine super large egg yolk from a large egg vanilla extract white chocolate chips
https://www.recipetineats.com/maple-sweet-potato-salad-with-whipped-tahini/, sweet potatoes maple syrup olive oil cooking salt / kosher salt black pepper chickpeas olive oil smoked paprika garlic powder onion powder cooking salt / kosher salt black pepper maple syrup sriracha extra virgin olive oil cooking salt / kosher salt Black pepper plain yogurt tahini lemon juice garlic clove extra virgin olive oil cooking salt / kosher salt finely chopped coriander/cilantro leaves toasted pistachios
https://www.recipetineats.com/cheese-herb-garlic-quick-bread/, block of cheese fresh rosemary fresh parsley leaves dried oregano dried thyme garlic cloves extra virgin olive oil cooking salt / kosher salt plain flour baking soda cooking salt / kosher salt plain yogurt milk large eggs unsalted butter olive oil small garlic cloves
https://www.recipetineats.com/ginger-chicken-and-rice/, oil chicken thighs long grain rice chicken stock green onion stems ginger large garlic cloves ginger shiitake mushrooms oyster mushrooms king mushrooms salt and white pepper kecap manis fish sauce white pepper
https://www.recipetineats.com/easy-french-apple-tart/, butter puff pastry caster sugar gala apples unsalted butter Icing sugar / powdered sugar Vanilla ice cream
